user_k,handle_n,alias_n,bio_x,followers_t,statuses_t,favorites_t,friends_t,listed_t,verified_f,politician_f,media_f,location_x,language_n,timezone_n,created_y,created_s,user_c,russian_troll_f
70,j0hnlarsen,john larsen,"stand 4 conservatism, patriotism & optimism. protect our kids! #wakeupamerica",541,2387,3211,852,21,FALSE,,,america,english,eastern time (us & canada),8/20/2013,8/20/2013 13:02,1685718216,TRUE
71,stanleyparris,stanley parrish,i attribute my success to this: i never gave or took any excuse.,849,1761,1975,1149,9,FALSE,,,usa,english,eastern time (us & canada),8/20/2013,8/20/2013 12:59,1685771767,TRUE
72,archieolivers,archie olivers,"my patriotic heart beats red, white, & blue.just a guy in one of those fly over states! #2a",2569,1854,1006,3396,28,FALSE,,,united states,english,pacific time (us & canada),8/20/2013,8/20/2013 17:49,1686370159,TRUE
73,bleepthepolice,bleep the police,"for a second at least, i'm resurrecting the peace#blacktivist #blacklivesmatter",13196,13727,11083,8071,163,FALSE,,,usa,english,eastern time (us & canada),8/21/2013,8/21/2013 1:49,1687183549,TRUE
74,watchmewalkin,watch jenny walkin',working - music geek + blacker than blackhole,851,2259,2214,547,10,FALSE,,,"georgia, usa",english,pacific time (us & canada),8/21/2013,8/21/2013 13:49,1688370956,TRUE
75,michellearry,michelle arrington,cautiously optimistic conservative. gathering followers one at a time,3229,2433,2157,3290,42,FALSE,,,usa,english,eastern time (us & canada),8/22/2013,8/22/2013 8:41,1690487623,TRUE
76,regieblackmon,reginald blackmon,"i’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",856,1997,2558,931,10,FALSE,,,"los angeles, ca",english,eastern time (us & canada),8/22/2013,8/22/2013 18:06,1691736218,TRUE
77,cornellburchet,cornell burchett,"a world for a few, a few to justice, lands in the hands of a few, few to education, wealth for a few. a world composed of an arrogant elite, perverse and biased",766,1786,2166,720,19,FALSE,,,"los angeles, ca",english,eastern time (us & canada),8/23/2013,8/23/2013 1:00,1692501152,TRUE
78,jacquelinisbest,jackie best,"i love god,my family & politics. conservative. married!#tcot #pjnet",2078,3416,3518,1757,31,FALSE,,,united states,english,eastern time (us & canada),8/23/2013,8/23/2013 14:41,1694026190,TRUE
79,kelvin_chambers,kelvin chambers,"father of twin daughters. conservative republican. interested in world events, politics, and sports. rt= whatever i find interesting",1506,1576,984,1260,32,FALSE,,,united states,english,pacific time (us & canada),8/24/2013,8/24/2013 7:32,1695830984,TRUE
80,randolphburrr,randolph burris,"#freegucciblacktivist, i'm down with #blacklivesmatter and #bronze united we stand",876,1914,2552,917,10,FALSE,,,"texas, usa",english,eastern time (us & canada),8/25/2013,8/25/2013 19:28,1699979024,TRUE
81,pamela_moore13,,,,,,,,,,,,,,,,4272870988,TRUE
82,zzzacharyzzz,zachary freeman,"i work out hard as fuck, bench press and lift as much as i can, so if me and the cops ever get into it… god bless the one that i grab #ftp #acab #blackpower",899,1700,2290,831,14,FALSE,,,"baltimore, md",english,eastern time (us & canada),8/26/2013,8/26/2013 13:25,1701955429,TRUE
83,cookncooks,steven cook,"hi fbi !!! #trump, #trump2016, @realdonaldtrum, #wakeupamerica, #makeamericagreatagain, #socialmedia, #blogger, #pjnet, #ccot, #chicago,, #master, #music,",1468,2188,2447,1454,15,FALSE,,,united states,english,pacific time (us & canada),8/29/2013,8/29/2013 19:45,1710804738,TRUE
84,onemightyfish,one mighty fish,people are just afraid of things too much. afraid of things that don't necessarily merit fear  - franc ocean#blacktolive,698,1718,1978,831,13,FALSE,,,usa,english,eastern time (us & canada),8/31/2013,8/31/2013 9:33,1715190968,TRUE
85,kenzdonovan,mackenzie donovan,const conservative patriot mamma??defending #liberty & #freedom!??luv #fam #friends #dogs & dancing cha-cha-cha!??,536,2300,2609,577,10,FALSE,,,united states,english,eastern time (us & canada),8/31/2013,8/31/2013 11:06,1715424829,TRUE
86,jani_s_jac,jasmin jacobs,"i aint shit now, but bitch i might be ?#freeguwop #blacklivesalwaysmattered",906,2217,2405,575,10,FALSE,,,usa,english,eastern time (us & canada),8/31/2013,8/31/2013 17:14,1716228906,TRUE
87,iiddaamarks,ida marks,an unexamined life is not worth living. –socrates,1080,2194,3051,925,14,FALSE,,,usa,english,eastern time (us & canada),8/31/2013,8/31/2013 19:07,1716561367,TRUE
88,donnabrivera,donna from usa,constitutional conservative #1a #2a #nra #standwithisrael #tcot #ccot #lnyhbt #prolife #supportmilitary #bluelivesmatter #securetheborder #godblessamerica,1623,2341,1772,1552,33,FALSE,,,usa,english,eastern time (us & canada),9/1/2013,9/1/2013 20:02,1720117201,TRUE
89,hunteroddddom,hunter odom,life is 10% what happens to me and 90% of how i react to it. –charles swindoll,2727,2076,2615,2001,24,FALSE,,,usa,english,eastern time (us & canada),9/2/2013,9/2/2013 2:57,1720981580,TRUE
90,melvinsroberts,fluffy melvin,internet junkie #hashtagwars lover!,3169,4874,3562,2658,30,FALSE,,,,english,eastern time (us & canada),9/4/2013,9/4/2013 3:45,1727482238,TRUE
91,mrclydepratt,clyde pratt,"life is a beautiful struggle. seek enlightenment, not hate#blacktolive",914,1978,1996,847,23,FALSE,,,"usa, atlanta",english,eastern time (us & canada),9/7/2013,9/7/2013 19:16,1768259989,TRUE
92,dorothiebell,dorothie,"conservative wife, mother! extremely proud of our veterans!! lets take this once great country back!!!",1893,3069,3166,2315,33,FALSE,,,usa,english,eastern time (us & canada),9/8/2013,9/8/2013 19:08,1833223908,TRUE
93,ogdeandre,deandre gregory,read the mess i tweet & retweet about & you'll have an idea of the kinda person i am?,774,1703,1989,415,11,FALSE,,,"florida, usa",english,eastern time (us & canada),9/12/2013,9/12/2013 9:04,1856828959,TRUE
94,drmichaelgarcia,michael garcia,i make privileged people upset #blacklivesmatter #fistsupafrosout,851,2295,2937,453,11,FALSE,,,us,english,eastern time (us & canada),9/13/2013,9/13/2013 6:39,1859674386,TRUE
95,brianaregland,briana ragland,black is my religion. if you buy me lipstick we go together #allblackeverything #wokeaf,768,2938,3221,415,12,FALSE,,,usa,english,eastern time (us & canada),9/15/2013,9/15/2013 17:11,1868496344,TRUE
96,ryanmaxwell_1,ryan maxwell,"conservative. sports fan. doing what i love, promoting conservatism. #pjnet #tcot #conservative",1839,1853,1102,1990,25,FALSE,,,united states,english,pacific time (us & canada),9/15/2013,9/15/2013 19:45,1868981054,TRUE
97,ravenicholson,raven nicholson,everybody deserves to know they too can be the hero of a story. i’m just a regular guy trying to put those heroes in stories,807,1645,2437,860,10,FALSE,,,nyc,english,eastern time (us & canada),9/28/2013,9/28/2013 17:17,1914760610,TRUE
98,arturburanof,????? ???????,"?????? ???????? ??????? ????? ?????? ? ????????? ??????? ? ???, ????? ??? ?????? ???? ? ?????.",405,1350,615,1628,1,FALSE,,,"??????, ??????",russian,yerevan,12/6/2013,12/6/2013 17:29,2233297178,TRUE
99,boryabuchin,????? ????,"??????, ??? ????? ? ???? ????? ??? ?????? ???????? ???????, ??? ????? ? ??? ??????????!",108,1357,1476,215,1,FALSE,,,"??????, ??????",russian,baku,3/6/2014,3/6/2014 13:29,2388391757,TRUE
100,puddin_leto,?????? ??????,"?? ?????? ? ??????, ? ? ???? ? ??????.",81,1310,2264,85,0,FALSE,,,,russian,moscow,3/12/2014,3/12/2014 7:09,2404145297,TRUE
